fth      throughput_hopCount      avgFidelity_hopCount      avepurround_hopCount      consumption_hopcount      time_hopCount      throughput_alg1      avgFidelity_alg1      avepurround_alg1      consumption_alg1      time_alg1      throughput_alg2      avgFidelity_alg2      avepurround_alg2      consumption_alg2      time_alg2
100    121.91118911012066    0.8577587236797755    15.0    1399.3    0.005101251602172852        151.47514328244338    0.7461999807633405    9.0    1396.9    2.93979275226593        125.51929816677128    0.8588688995374371    18.8    1367.7    0.0018008232116699218    
200    243.82237822024132    0.8577587236797755    15.0    2798.6    0.004686045646667481        303.01962318067046    0.7461999807633405    9.0    2795.0    2.942458653450012        251.03968139942086    0.8588688995374371    18.8    2734.4    0.0015008211135864257    
300    365.82123523811447    0.8577587236797755    15.0    4202.5    0.004601144790649414        454.4947664631139    0.7461999807633405    9.0    4191.9    2.89430091381073        376.78554573370445    0.8588688995374371    18.8    4108.4    0.0008002996444702148    
400    487.73242434823516    0.8577587236797755    15.0    5601.8    0.004701805114746094        606.0392463613409    0.7461999807633405    9.0    5590.0    2.935905909538269        502.3048439004757    0.8588688995374371    18.8    5476.1    0.0019005060195922852    
500    609.6436134583558    0.8577587236797755    15.0    7001.1    0.0052013397216796875        757.5143896437842    0.7461999807633405    9.0    6986.9    2.9402005195617678        627.8252271331253    0.8588688995374371    18.8    6842.7    0.001600503921508789    
600    731.6424704762289    0.8577587236797755    15.0    8405.0    0.005181050300598145        909.0588695420114    0.7461999807633405    9.0    8385.0    2.9613723754882812        753.5710914674089    0.8588688995374371    18.8    8216.7    0.0009001731872558594    
700    853.5536595863496    0.8577587236797755    15.0    9804.3    0.004901528358459473        1060.5340128244547    0.7461999807633405    9.0    9781.9    2.9491742610931397        879.09038963418    0.8588688995374371    18.8    9584.4    0.0011003971099853515    
800    975.4648486964703    0.8577587236797755    15.0    11203.6    0.004851293563842773        1212.0784927226819    0.7461999807633405    9.0    11180.0    2.919749903678894        1004.6107728668296    0.8588688995374371    18.8    10951.1    0.0014002561569213868    
900    1097.4637057143432    0.8577587236797755    15.0    12607.5    0.004844355583190918        1363.553636005125    0.7461999807633405    9.0    12576.9    2.9411633968353272        1130.3566372011132    0.8588688995374371    18.8    12325.0    0.0012033939361572265    
