fth    tphopcount    tpalg1    tpalg2    avefhopcount    avefalg1    avefalg2    consuhopcount    consualg1    consualg2    avepathlengthhopcount    avepathlengthalg1    avepathlengthalg2    aveperconhopcount    aveperconalg1    aveperconalg2    timehop    timealg1    timealg2
10    0.0    28.997193180041137    18.19786625453598    0.0    0.7425181375611171    0.8549056805041829    0.0    304.0    312.0    0.0    7.083333333333333    8.571428571428571    0.0    10.75    15.428571428571429    0    87.92959022521973    2.309009552001953
20    0.0    56.38495045284291    32.27657176339923    0.0    0.7333888304878858    0.8622452093529591    0.0    686.0    647.0    0.0    9.2    9.125    0.0    14.6    17.0625    0    208.04154706001282    3.780223846435547
30    0.0    62.86020264032847    60.08446642685109    0.0    0.7327661648404857    0.8600784990594343    0.0    897.0    1131.0    0.0    8.6    8.44    0.0    12.9    15.6    0    151.92216753959656    9.618526697158813
40    0.0    107.56020229833007    87.76294604289296    0.0    0.7514582315307384    0.8679258128228274    0.0    1000.0    1397.0    0.0    7.125    10.88888888888889    0.0    11.0    21.5    0    86.98855829238892    7.5818517208099365
50    0.0    120.70855815300071    102.59463095822517    0.0    0.7416197192165414    0.8531459429799408    0.0    1413.0    1641.0    0.0    7.5    7.636363636363637    0.0    11.25    13.454545454545455    0    112.46966576576233    2.621312141418457
60    0.0    134.21303064118212    83.41286134200455    0.0    0.728887296480837    0.8738165123376831    0.0    1722.0    1821.0    0.0    8.5    10.133333333333333    0.0    13.166666666666666    19.4    0    87.74491810798645    4.430516004562378
70    0.0    126.76130849467505    124.25571073287449    0.0    0.7330950266845495    0.8685505498661065    0.0    1997.0    1700.0    0.0    7.555555555555555    8.083333333333334    0.0    11.0    15.25    0    81.35904955863953    6.6540069580078125
80    0.0    142.58502245121858    137.08547493133207    0.0    0.7221423918954089    0.8729080094360141    0.0    2774.0    1940.0    0.0    10.75    9.416666666666666    0.0    17.875    18.25    0    125.65359616279602    4.513346910476685
90    0.0    177.53080236952712    134.80905200785833    0.0    0.7526856321782331    0.8740423536486368    0.0    2086.0    2806.0    0.0    7.714285714285714    8.5    0.0    11.714285714285714    15.722222222222221    0    174.36555695533752    8.301349639892578
